Applying pruning encoder (type pruning : unstructured) with value : 0.2 ... 

Module : non_bottleneck_1d , Num_Layer : layers.1 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.1 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.1 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.1 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.2 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.2 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.2 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.2 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.3 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.3 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.3 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.3 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.4 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.4 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.4 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.4 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.5 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.5 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.5 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.5 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.7 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.7 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.7 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.7 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.8 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.8 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.8 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.8 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.9 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.9 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.9 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.9 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.10 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.10 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.10 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.10 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.11 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.11 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.11 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.11 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.12 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.12 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.12 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.12 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.13 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.13 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.13 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.13 , innerModule : conv1x3_2
Module : non_bottleneck_1d , Num_Layer : layers.14 , innerModule : conv3x1_1
Module : non_bottleneck_1d , Num_Layer : layers.14 , innerModule : conv1x3_1
Module : non_bottleneck_1d , Num_Layer : layers.14 , innerModule : conv3x1_2
Module : non_bottleneck_1d , Num_Layer : layers.14 , innerModule : conv1x3_2
